	for_query	tweet	username	date	hashtags	likes	retweets	url
6	Blm George Floyd	"@TIME The choice was clear: George Floyd and the BLM movement. Instead it went it to the people who created and enforced the institutions that movement is up against. Also, this ticket won't ""change America's story"" beyond closing the curtain on injustice again. Back to Bush/Obama days"	phyllisdyllis	Fri Dec 11 04:59:15 +0000 2020	['BLM']	28	0	https://twitter.com/twitter/statuses/1337260638184165376
7	Blm George Floyd	@40_head @realDonaldTrump We march on DC and Demand that our Constitutional right to vote is rectified and the rightful winner is seated. If BLM and ANTIFA can march on Washington for George Floyd and get what they want, we can do it for our Constitution which is America itself.	davevboy	Thu Dec 17 03:00:26 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339405062615879682
8	Blm George Floyd	@nessryan11 @IGoodwyn @iamTongueNCheek @BILDERBERG_GP @Nigel_Farage No it started with black footballers in America to protest at the way black people are treated in America it was never used here until after George Floyd's death and BLM took it up as their mantra and it became a simble of BLM in this country.	marmundy	Wed Dec 09 06:58:13 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336565801210552328
9	Blm George Floyd	@ThyMisterX @cjlow_ @Bunney_91 @BBCSport Ah yes because there has never been any instances of racism in the uk. Just George Floyds death in America 🙄 it hasn’t even been a full season of blm solidarity (like 30s of kneeling per match) and you are already complaining it has gone on for too long	annika_bri	Wed Dec 09 20:45:27 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336773980620021766
10	Blm George Floyd	"@_ogybear @RepAOC The person who is trying to “change the idea being a Leftist is extreme” is calling me an idiot and alleging I “wrap reality”. 

Leftists believe; gender is a spectrum, America is racist, Russia collusion, George Floyd was murdered, Antifa is an idea, &amp; BLM is peaceful. 🤦‍♂️🙄🤷🏼‍♂️"	trunalimunumap4	Thu Dec 17 15:34:12 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339594752472141826
11	Blm George Floyd	@JeremyVineOn5 @theJeremyVine @Dawn_French BLM in America is a violent, anarchist organisation. It's built on lies as statistics prove that more unarmed white people are actually shot by the American police than black. George Floyd also wasn't murdered, his autopsy showed he died from a self induced drugs overdose.	MartinWiseman17	Fri Dec 11 07:49:35 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337303501978951681
12	Blm George Floyd	@BotinatorT @therealmissjo @AnnCoulter Are you out of your mind?  Corporate America donated hundreds of millions of dollars to BLM after George Floyd OD’d on fentanyl.Many of them mandate bias training.If you’re Corporate counsel you’d better at least pretend to support BLM else it will be hard for you to find a job.	EpsteinSkip	Thu Dec 17 00:52:51 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339372956661723138
13	Blm George Floyd	@k_oticgay @lesbo4lyfe1 @Lyroz3 @Haterscrymore @_BENDTHERULES_ @shookytwts Also, if ur counting the movement as George floyd that’s 25% which is proportionally more than the percentage of black people in America. I don’t get how people can see 1/4 of the person of the year dedicated to the BLM movement and complain about 3 white ppl	Aidan18m	Thu Dec 10 20:21:00 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337130212698546179
14	Blm George Floyd	@ReehanG28 Not sure I do. MSM made clear that BLM was a response to George Floyd's death in America. But somehow fans are supposed to 'know' that players don't mean that BLM, they mean this BLM. Still prefer players to work with the Kick It Out campaign, but maybe that's just me.	lrcaswell	Sat Dec 12 12:38:51 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337738688500019202
15	Blm George Floyd	"@lindamilne001 @Rob935 @SaltyDuchess @Hoddy67 @SkyNews Oh George Floyd in America you mean!? 

Have you not seen the way BLM were allowed to tear down statues, set our flag on fire, desecrate our memorials with no interference from the police!? 

Vs reaction to one white guy who most like ACCIDENTALLY peed next to a memorial plaque?"	k81207670360	Wed Dec 16 11:02:48 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1339164067487944705
16	Blm George Floyd	A lot of y’all don’t care about activism and i learned that earlier this year with the whole situations that was going on across America a lot of y’all was sitting around waiting for y’all faves to speak on BLM &amp; George Floyd for your stan wars kinda #weird	bodakindigo	Fri Dec 11 03:51:42 +0000 2020	['BLM']	19	2	https://twitter.com/twitter/statuses/1337243638158528514
